Student ID,First Name,Last Name,Grade Level,Parent Name,Parent Email
2026001,Liam,Gonzales,Grade 1,Roberto Gonzales,windoges7@gmail.com
2026002,Noah,Reyes,Grade 2,Maria Reyes,windoges7@gmail.com
2026003,Oliver,Bautista,Kinder,Jose Bautista,windoges7@gmail.com
2026004,Elijah,Delos Santos,Grade 6,Juan Delos Santos,windoges7@gmail.com
2026005,James,Garcia,Nursery,Ana Garcia,windoges7@gmail.com
2026006,William,Mendoza,Grade 3,Pedro Mendoza,windoges7@gmail.com
2026007,Benjamin,Cruz,Preparatory,Liza Cruz,windoges7@gmail.com
2026008,Lucas,Aquino,Grade 4,Ricardo Aquino,windoges7@gmail.com
2026009,Henry,Ramos,Grade 5,Teresa Ramos,windoges7@gmail.com
2026010,Alexander,Flores,Grade 1,Eduardo Flores,windoges7@gmail.com
2026011,Mason,Villanueva,Grade 2,Carla Villanueva,windoges7@gmail.com
2026012,Michael,Rivera,Grade 3,Mario Rivera,windoges7@gmail.com
2026013,Ethan,Fernandez,Grade 6,Luis Fernandez,windoges7@gmail.com
2026014,Daniel,Diaz,Nursery,Sofia Diaz,windoges7@gmail.com
2026015,Jacob,Castro,Kinder,Ramon Castro,windoges7@gmail.com
2026016,Logan,Roque,Preparatory,Elena Roque,windoges7@gmail.com
2026017,Jackson,Ocampo,Grade 4,Victor Ocampo,windoges7@gmail.com
2026018,Levi,Domingo,Grade 5,Grace Domingo,windoges7@gmail.com
2026019,Sebastian,Sarmiento,Grade 1,Paolo Sarmiento,windoges7@gmail.com
2026020,Mateo,Mercado,Grade 2,Lorna Mercado,windoges7@gmail.com
2026021,Jack,Torres,Grade 3,Ben Torres,windoges7@gmail.com
2026022,Owen,David,Grade 6,Sarah David,windoges7@gmail.com
2026023,Theodore,Dizon,Nursery,Mark Dizon,windoges7@gmail.com
2026024,Aiden,Sanchez,Kinder,Judy Sanchez,windoges7@gmail.com
2026025,Samuel,Austria,Preparatory,Rey Austria,windoges7@gmail.com
2026026,Joseph,Pascual,Grade 4,Linda Pascual,windoges7@gmail.com
2026027,John,Valdez,Grade 5,Tony Valdez,windoges7@gmail.com
2026028,David,De Leon,Grade 1,Minnie De Leon,windoges7@gmail.com
2026029,Wyatt,Francisco,Grade 2,Noel Francisco,windoges7@gmail.com
2026030,Matthew,Salazar,Grade 3,Rosa Salazar,windoges7@gmail.com
2026031,Luke,Corpuz,Grade 6,Allan Corpuz,windoges7@gmail.com
2026032,Asher,Aguilar,Nursery,Fe Aguilar,windoges7@gmail.com
2026033,Carter,Velasco,Kinder,Bong Velasco,windoges7@gmail.com
2026034,Julian,Santiago,Preparatory,Tess Santiago,windoges7@gmail.com
2026035,Grayson,Navarro,Grade 4,Rico Navarro,windoges7@gmail.com
2026036,Leo,Del Rosario,Grade 5,Gemma Del Rosario,windoges7@gmail.com
2026037,Jayden,Castillo,Grade 1,Jun Castillo,windoges7@gmail.com
2026038,Gabriel,Padilla,Grade 2,Lita Padilla,windoges7@gmail.com
2026039,Isaac,Angeles,Grade 3,Boy Angeles,windoges7@gmail.com
2026040,Lincoln,Tolentino,Grade 6,Vicky Tolentino,windoges7@gmail.com
2026041,Anthony,Legaspi,Nursery,Dan Legaspi,windoges7@gmail.com
2026042,Hudson,Chua,Kinder,Alice Chua,windoges7@gmail.com
2026043,Dylan,Lim,Preparatory,Henry Lim,windoges7@gmail.com
2026044,Ezra,Tan,Grade 4,Jenny Tan,windoges7@gmail.com
2026045,Thomas,Sy,Grade 5,George Sy,windoges7@gmail.com
2026046,Charles,Yap,Grade 1,Susan Yap,windoges7@gmail.com
2026047,Christopher,Go,Grade 2,Fred Go,windoges7@gmail.com
2026048,Jaxon,Sison,Grade 3,Beth Sison,windoges7@gmail.com
2026049,Maverick,Pineda,Grade 6,Carl Pineda,windoges7@gmail.com
2026050,Josiah,Enriquez,Nursery,Kate Enriquez,windoges7@gmail.com
